Brogan, Michael/Baldwin, Stephen
Huze, Sean/Acovone, Jay
Hardeman, Annette/Bentley, Wes
Guest, Tom/Anderson, Carl
Jasen, Richard/Acker, Iris
Eastland, Todd/Caplin, Bruce
Simpson, Kristen/Alianak, Harant
Schuber, Elena/Arnold, Tom
Zobel, Richard/Alspaugh, William
S�nchez, Gina/Althoff, Ron
De Abros, Mario/Fajardo, Eduardo
Johnson, Ian/Arquette, Lewis
Pramik, John/Angelo, Susan
Bloomfield, Angela/Alvarado, Trini
Harris Jr., Glenn Walker/Almy, Brooks
Anglin, Anne/Affleck, Neil
Puttock, Ron/Atkins, Eileen
Rabelo, Marcelo/Borges, Mario
Martin, Ernest/Bardini, Aleksander
Dirden, Willie/Anderson, Stanley
Woods, Stephen/Barbeck, Jason
Maeda, Estela/Angel, Vanessa
Michaud, Nancy-Ann/Alacchi, Carl
Neal, Joey/Aponte, Gina
Cummings, Summer/Amendolia, Don
Halliwell, Steve/Beatty, Ned
Johnson, Louise/Bentley, Wes
Kenney, Gregory Gibson/Meyers, Larry John
Fielder, Ron/Avery, Joni
Lagerberg, G�ran/Blom, Tommy
Parson, Jonathan/Berger, Michael
Piper, Gordon/Austin, Robert
Minn, Michael/Beach, Gary
Klimek, Joe/Adams, Terry
Darling, Jon/Brand, Larry
Vochecowizc, Liz/Aiello, Danny
Carlman, Marie/Adams, Marla
Kelly, Fermin/Howard, Clint
Billy, Michele Ameen/Barrett, Majel
Collins, Karl/Badland, Annette
Turner, Teddy/Belcher, Joe
Palmer, Anne/Allen, Sarita
Smith, Crystal/Clark, Jim
Marzano, Joseph/Atherton, William
Barrard, John/Arlen, David
Romano, Juanita/Anderson, Todd
Erasmus, Desiree/Ciccolella, Jude
Calicchio, Steve/Berger, Anna
Harris, Leon/Afrakhan, Behrooz
Campbell, Shelly/Boisvert, Michael
Fourmond, Stephane/Ardant, Fanny
Gibson, James/Benjamin, Christopher
LeGallienne, Eva/Allen, Penelope
Robertson, Allison/Anderson, Brett
McMell, Mickey/Anderson, Rick
Scotti, Vito/Powers, Stefanie
Zylberman, Noam/Barrett, Paula
Harron, Phil/Bambury, John T.
Mandis, David/Arenberg, Lee
Abou-Seif, Nabawa/Anderson, John
Graham, Herbert K./Alexander, Denise
Batson, Terrie/Brown, Jophery C.
Nguyen, Thu Anh Ly/Birney, Reed
Yaron, Danielle/Bach, Catherine
Mathis, Sherry/Andrews, Nancy
Ruggeri, Nino/Bergansky, Charles
Rubio, Ben/Diaz, Vic
Sheridan, Joseph/Alric, Jacques
Serand, Greg/Beck, Jason
Hession, Chris/Argue, David
R�o, Pedro del/Arias, Imanol
Muratore, Robert/Allen, Kevin
Breneman, John/Adam, Ronald
Dreiling, Jennifer/Rogers, Mike
Malfatti, Marina/Blanc, Erika
Lal, Mantu/Berk, Ailsa
Thorndon, Erin/Blackwell, Emma
Avery, Jill/Bartlett, Bonnie
Cabral, Susan A./Avellone, Gregory
Martini, Richard/Anders, Luana
Hayes, Patrick/Alda, Rutanya
Kyzer Jr., Alvin/Adams, Julian
Butenuth, Claudia/Cosell, Howard
Yune, John/Akers, Andra
Albright, Jennifer/Baker, Becky Ann
Dillard, Doug/Arkin, David
Cooper, Peggy/Bell, Ann
Bateman, Bill/Abbott, Paul
Connick Jr., Harry/Amos, Diane
Vitale, Lilliana/Barnes, Chris
Rubinow, John/Ackerman, Forrest J
Igawa, Hisashi/Gere, Richard
Gould, Jack/Arcand, Nathaniel
Pack, Jeremy/Anderson, Anthony
Houser, Ryan/Blakeman, Ben
Heindl, Scott/Lane, Campbell
Hopkins, Joseph C./Adams, Terry
Peace, Chad/Adams, Dave
Thompson, Bryan J./Babcock, Barbara
Nakayama, Shunsaku/Altamura, John
O'Connor, Danny/Bannen, Ian
Reilley, James/Alaimo, Marc
Moroney, Molly/Cameron Bure, Candace
Carroll, J. Winston/Abrahams, Doug
Redfern, Anne/Bachelder, John
May, Michael P./Antico, Pete
Merrill, Gail/Archie, John
Tolan, Michael/Ayres, Leah
Gonneau, Jackie/Angelo, Susan
White, Buck/Burnett, T-Bone
Biondi, John/Aldrich, Dell
Hiser, Jim/Adams, Jane
Chatfield, Keith/Amos, John
Esper, Michael/Allen, Tommy
Arshur, Don/Berdot, Trisha
Drinkwater, Ros/Adam, Ronald
Marston, Nathaniel/Balk, Fairuza
Quick, P.K./Durren, John
Auman, Jeremy W./Ales, John
Nathenson, David/Bailey, Frederick
Remotti, Remo/Abraham, F. Murray
Rioux, V�ronique/Binoche, Juliette
Ganzer, Sandra/Cameron, Dean
Kay, Sylvia/Armstrong, John
Gotell, Walter/Aames, Angela
Tik, Lun Wong/Ash, Rick
Olivier, Nicole/Cohen, Leslie
Rosales Jr., Thomas/Duran, Richard L.
Brigham, Rolanda/Bailey Jr., Robert
McGee, John/Cher
Robinson, Milton/Cohen, Gabe
Murray, Cleo/Alterman, Steve
Hedley, Jack/Angelis, Paul
Hutchinson, Mark/Benton, Susanne
Ryan, Annie/Allen, Joan
DeMille, Cecil B./Adams, Dorothy
Black, Isobel/Cushing, Peter
Burdett, Laetitia/Allen, Eddie
Aguirre, Carmen/Miller, Stephen E.
Bond, Michael/Antonio, Jim
Wassaman, Tara/Fredrickson, Theodora
Morrison, Patricia/Heath, Marcus
Shell-True, Shari/Arias, Joseph
Jalil, David/Bauchau, Patrick
Tyler, Ian/Baldwin, Adam
Daley, Ravah/Abercrombie, Ian
Fiorda, Tina/Abrahams, Doug
Washington, Billy D./Anderson, Stanley
Mosley Jr., Irvin/Arkin, Adam
Millikin, Sean/Amsing, Sean
De Lugo, Win/Amatrudo, Ed
Wood, Jeffery/Arenberg, Lee
Croft, Michael/Aanensen, Peter
Kirchlechner, Dieter/Berling, Peter
Vohra, Rahul/Andrews, Naveen
Moriarty, Dean/Anderson, Greg
Ahn, Philip/Adam, Ronald
Taylor, Michelle/August, Pernilla
Valverde, Fernando/Agut, Alicia
Langton, David/Andersson, Bibi
Novoa, Laura/Bardi, Emilio
Chin, Mary Ann/Beyers, Bill
Smith, Danielle/Chow, David
Chasse, Maurice/Napier, Charles
Cash, Aaron James/Armstrong, Vaughn
Latorre, Enrique/Alterio, H�ctor
Davies, Anne-Marie/Landis, John
Santa Maria, Nick/Alexis, Kim
Lang, Barbara/Aronson, Judie
Brandhagen, Clinton/Aki
Gunneau, Peter/Almanzar, James
Schweitzer, Daniel/Gordon, Jon
Barrett, Andrew/Lom, Herbert
Donno, Eddy/Amos, John
Woolgar, Barry/Ashford, David
Filimonov, Gennadi/Allen, Debbie
Rhine, Bert/Cage, Nicolas
Shelgin, Jimmy/Acevedo, Kirk
Gallens, Steve/Brown, Jeff
Bragg, Sherry/Aames, Angela
Archer, Anne/Androsky, Carole
McGann, Marion/Ballard, Ray
McGuire, Justin/Jay, Zuma
Bowden, Tom'ya/Cube, Ice
Vernon, Don/Annis, Francesca
Wimberly, Corky/Askew, Luke
Prentiss, Ed/Adrian, Iris
Green, Stan/Anderson, Brian
Stiers, David Ogden/Begley Jr., Ed
Etokyo, Enzo/Aufaure, Claude
Rajab, Robert Ben/Anderson, Stanley
MacDonald, Scott/Benedict, Robert Patrick
Walker, Charlie/Allison, Patricia
Drew, Lee/Cameron, Dean
Braugh, Jane/Bryan, Brinton
Kristen, Lidia/Anderson, Steve
Caven, Ingrid/Calahorra, Margarita
Tramunti, Alexis/Bedford, Lou
McGill, Desi/Cameron Bure, Candace
De Winter, Johana/Addota, Kip
Miro, Jennifer/Albert, Laura
J�reg�rd, Ernst-Hugo/Barr, Jean-Marc
Faraj, Said/Trejo, Danny
Cutler, J.C./Arkin, Adam
Vargas, Jos�/Heaton, Tom
Kiss, Ferenc D�vid/Aron, Laszlo
Blakeley, Elinor/Abbey, Ian
Nelson, Art/Cosimano, Peter
Verhoeven, Jan/Droog, Bernard
Beymer, Richard/Arthur, Sean'a
Lynley, Carol/Flower, George 'Buck'
Pearson, Keith/Bowens, Malick
Krachmalnick, Sam/Abernathy, Louisa
Florek, Dann/Allen, Sarita
Stern, Dawn/Bill, Bushwick
Gray, Jack McLaughlin/Baier, Robert
Silva, Gloria/Abraham, Jorge
Ahern, Pat/Amos, John
Veroni, Craig/Burgess, Rick
Muirhead, Tem/Blackwell, Emma
Caffrey, Jack/Barrett, Raina
Hunt, Pamela/Alexander, Bruce
Miller, John/Beckel, Graham
Petrusic, Luka/Bowyer, Matthew
Huelves, Hazel/Agcaoili, Adriana
Godfrey, Bob/Attenborough, Richard
Stewart, Susan/Abelew, Alan
Boyce, Jim/Angel, Jack
Miller, Gerald/Alexander-Willis, Hope
Godr�che, Judith/Guilfoyle, Paul
Brenner, Richard/Collings, David
Sheybal, Vladek/Ackland, Joss
Starrat, Aron/Ai, Catherine
Jones, Samantha/Astin, John
Bogatirev, Dmitro/Bazinet, Ren�
Arner, Gwen/Brauner, Asher
Weissner, Hilde/Bowie, David
Carroll, Lane/France, Richard
Murillo, Yvor/Degermark, Pia
Hoar, Jack/Berg, Peter
Momsen, Sloane/Alexander, John
Rivamonte, Lia/Beasley, John
Edlin, Sara-Jo/Alda, Rutanya
Goldstein, Carey/Boyle, Lisa
Brinckerhoff, Burt/Acovone, Jay
Lee, Pat/Boggs, Gail
Crouch, Rachel/Abernathy, Donzaleigh
Devore, Donna/Ackroyd, Jack
Marks, Jackie/Armstrong, Alun
Predit, Masha/Andr�, Carole
McEneely, Tommy/Goeres, Bryan
Carillo, Oct�vio/Adams, David
White, Kiley/Allen, Hope
Read, K.A./Bogh, Paul
France, Austin/Badland, Annette
Warner, Matt/Anderson, Arthur
Coyne, Bill/Ackerman, Jan
Irsay, Meg/Amsterdam, Lisa
Petr�, Gio/Borss�n, Jarl
Wise, Gregory/Dewhurst, Brian
Madoc, Philip/Alexander, Keith
Campan, Zanie/Blin, Roger
Le Fever, Kit/Turturro, John
Hsin, Jim/Ayres, Rosalind
Mosley, Bryan/Alba
Monica, Kathleen/Allain, Aurorah
Guti�rrez, Alfredo/Argenziano, Carmen
Milford, Teddy/Beaver, Terry
Nelthorpe, Malcolm/Rubinek, Saul
Pillars, Jeff/Arnold, Tammy
de Both, Froukje/Cohen, Horace
Floyd, Rebecca/Augusta, Karel
Moss, Arnold/Ansara, Michael
Gaffin, Melanie/Applegate, Royce D.
Four, Buck/Alice, Mary
Bormet, Brian/Arnold, Tammy
Federspiel, Birgitte/Andersson, Bibi
Alarcon, Lance/Abdy, Pamela
Thorns, Tricia/Allen, Keith
Santiago-Hudson, Ruben/Gooding Jr., Cuba
Lombard, Ron/Alaimo, Michael
Au-Yeung, Bobbie/Chan, Philip
Graham, Reavis/Campbell, Bruce
Coffin, Frederick/Sarandon, Susan
Parilo, Markus/Banzaru, Radu
Deacon, Richard/Atterbury, Malcolm
Bowden, Shirley/Armas, Adrian
Freisen, Ruth/Bloom, Brian
Tutt, Ronnie/Burton, James
Cullen, Michael/Aiello, Rick
Finlayson, Peter/Agar, John
Sinden, Jeremy/Anderson, Lindsay
