Dugan, Dennis/Brennan, Eileen
Onaka, Seiji/Hirata, Akihiko
Harmon, John/Benedict, William 'Billy'
Conti, John David/Begley Jr., Ed
Gemma, Giuliano/Buzzanca, Lando
Howard, Ben/Abbott, Pamela
Reed, Alan/Thompson, Bill
Kassir, John/Auberjonois, Rene
Duval, Henry/Merrill, Gary
Tiernan, Andrew/Cecil, Jonathan
Pinnock, Arnold/Bernhard, Sandra
Camen, Joey/Callaway, Liz)
Smith, David/Baker, George
Gordon, Grant/Ghostley, Alice
Goldstein, Shelley/McKellen, Ian
Humphrey, Cavada/Adam, Ronald
Cheung, George/Conn, Didi
Kleeb, Helen/Grabowski, Norman
Fogel, Jerry/McKennon, Dal
Bernard, Denis/Genest, �mile
Howells, Colin/Wayne, John
Ziegler, Ernst/Mann, Danny
Seales, Franklyn/Lennon, Jarrett
Manning, Carson/Reynolds, Michael J.
Cobb, Lee J./Darden, Severn
Brown, Joe E./Bondi, Beulah
Whiting, Napoleon/Connors, Chuck
Fitzpatrick, Colleen/Corey, Jeff
Crawford, Andrew/Claydon, George
Holmes, Leland/Bull, Richard
Ish-Kassit, Moshe/Wynn, Ed
Hickey, Marguerite/Salonga, Lea
Quinn, Patrick/Lester, Tom
Carter, Jim/van Vooren, Monique
Rozman, Lojze/Brooke, Hillary
Topol/Pr�boist, Jacques
Griffith, Eva/Bartilson, Lynsey
Quackenbush, Larry/Edner, Bobby
Blanchard, Rachel/Conforti, Gino
Thomas, John/Bloom, Claire
Hathaway, Kellen/Rossi-Stuart, Giacomo
Seri, Istv�n/Olsen, Ashley
Malkin, Sam/Alfredson, Hans
Rohm, Maria/Greig, Robert
Riley, Maggie/Carver, Brent
Tatsumi, Ryutaro/Tobolowsky, Stephen
Wooley, Sheb/Hayashibara, Megumi
Hoffman, Victoria/Stiglitz, Hugo
Waddington, Bobby/Oliver, Tom
Bishop, Linda/Johnson, Ashley
Gable, Christopher/Caloz, Michael
Woolf, Henry/Brimley, Wilford
McLiam, John/Ootani, Ikue
MacDonald, Barry/Fauteux, Jacques
Higgins, Joe/Hayashibara, Megumi
Marshall-Fricker, Lily/Brimley, Wilford
Linder, Cec/Hayashibara, Megumi
Edwards, Sarah/Fauteux, Jacques
Jarvis, Martin/Hayashibara, Megumi
Brown, Chelsea/Ootani, Ikue
Boies Jr., Gerald H./Ootani, Ikue
Dejon, Denice/Ootani, Ikue
Oldman, Gary/Weaver, Dennis
Bliss, Lela/Weaver, Dennis
Page, Don/Ootani, Ikue
Boivert, Martin/Weaver, Dennis
Burnett, Steve/Ootani, Ikue
Pilo, Adaya/Fauteux, Jacques
Judovits, Danielle/Ootani, Ikue
Buchanan, Stuart/Ootani, Ikue
De Victor, Claudio/Ootani, Ikue
Sisto, Jeremy/Ootani, Ikue
Costanza, Bobby/Ootani, Ikue
Brotman, Stuart/Ootani, Ikue
Dorval, Adrien/Ootani, Ikue
Stark, Stuart/Ootani, Ikue
Aviv, Mutzi/Weaver, Dennis
Fitzgibbon, Basil/Ootani, Ikue
Peterson, Cassandra/Ootani, Ikue
Lescot, Jean/Fauteux, Jacques
Lawrence, Gary/Ootani, Ikue
Hamlin, Faye/Ootani, Ikue
Ortiz, Lisa/Weaver, Dennis
Kaga, Takeshi/Weaver, Dennis
Besso, Claudia/Ootani, Ikue
