Billings, Joe/Barry, Ivor
LaFortune, Roc/Perron, Michel
Loud, Lance/Antin, Robin
Freeman, Don/Bercovici, Luca
MacDonald, Jessica Wight/Carlin, Amanda
Wollter, Sven/Abrahams, Doug
Gray, Margery/Moffat, Donald
Varela, Elizabeth/D'Alessandro, Richard
Bohay, Heidi/Beck, Vincent
Shaw, Polly/Carpenter, Willie C.
Clark, James/Foray, June
Sanders, Brian/Ciarfalio, Carl
Cross, Roger R./Cotterill, Ralph
Griesemer, Ida/Garcin, Henri
Vinovich, Steve/Brooks, Iris
McKinley, Narcissa/Morikawa, Toshiyuki
Proctor, William/Busquets, Narciso
Rauch, Sibylle/Stacy, John
Stevens, Leon B./Han, Suk-kyu
Collins, Rob Evan/Sundquist, Bj�rn
de Oliviera, Isaura/Miller, Rand
Komorowska, Maja/�tsuka, Akio
Smith, Earl W./Miller, Rand
Carliez, Michel/Miller, Rand
Damian, Christopher/Parker, Cecilia
Ahn, Phillip/Taguchi, Tomoro
