Ferris, Barbara/Bull, Peter
Coleman, Charles/Brooke, Tyler
C�rdenas, Elsa/Adams, Nick
Armstrong, Todd/Crawford, John
Bell, Wade/Johnson, Ashley
Culkin, Macaulay/Kline, Kevin
Fernando, Taila/Chakiris, George
Coote, Robert/Brown, Jim
Davidson, Jim/Bryant, William
Kusatsu, Clyde/Bennett, Jeff
Gravel, Christian/Karras, Alex
Soundy, Ian/Hawthorne, Nigel
Mayans, Antonio/Aslan, Gr�goire
Morton, Clive/Baker, George
Breaux, Walter/Airhart, Teddy
Taylor, Robert/Berle, Milton
Brecher, Egon/Treacher, Arthur
Purnell, Louise/Jacobi, Derek
Hinton, Darby/Albertson, Jack
O'Neal, Ryan/Baker, Stanley
Beevers, Diana/Alexander, Keith
Dumont, Margaret/Greig, Robert
Packard, Frank/Bambury, John T.
Holmes, Jake/Brown, Johnny
Headly, Glenne/Allen, Elizabeth
Maga, Mickey/O'Malley, J. Pat
Austin, Karen Elizabeth/Alexander, Jason
Milton, Ernest/Brown, Pamela
Lantz, Gunnar/Heyerdahl, Thor
Hoffman, Dustin/Romero, Cesar
Wilder, Glenn R./Adrian, Iris
Kerr, Annette/Alexander, Keith
Henley, Joan/Battley, David
Jensen, Gale/Flower, George 'Buck'
Beymer, Richard/Albert, Eddie
Marx, Groucho/Greig, Robert
Young, Petal/Cossins, James
Dapo, Ronnie/Dean, Roy
Seed, Graham/Bron, Eleanor
Erickson, Bill/Almanzar, James
Ayres, Lew/Camp, Colleen
Meadows, Arlene/Anderson Jr., Michael
Bollinger, Nathalie B./McKellen, Ian
Ebert, Ken/Mahoney, Jock
Rigg, Carol/Coleman, Dabney
Drewitz, Devin Douglas/Begley Jr., Ed
Dunbar, David/Crisp, Donald
Turich, Felipe/Adams, Nick
Paris, Gerald/Benfield, John
Laughton, Eddie/Bacon, Irving
Ardal, Maja/Ashmore, Shawn
Adams, Trevor/Bennett, Jill
Smith, Josephine/Brynner, Yul
Pohlmann, Eric/Abbott, Pamela
Eaton, Marjorie/Andrews, Julie
Lawrence, Joshua/Baddeley, Hermione
Reid, R.D./Ashmore, Shawn
Elfstrom Jr., Robert/Kristofferson, Kris
Traversi, Marisa/Loren, Sophia
Coates, Conrad/Frank, Kevin
Sundstrand, Anna/Olsen, Ashley
Werle, Barbara/Almanzar, James
Kagure, Brian/Hallier, Lori
Vestoff, Virginia/Bassett, William
Albert, Paule/Audley, Maxine
Paul, Alexandra/Angarano, Michael
Brockwell, Leonard/Cossins, James
Piat, Jean/Dobson, Paul
Schmitzburger, Paul/Ayres, Rosalind
Patte, Jean-Marie/Pr�boist, Jacques
Alda, Alan/Carter, Jack
Peil Sr., Edward/Anderson, Herbert
Bremner, Belinda/Constantine, Michael
Turner, John/Connors, Chuck
Shelley, Joshua/Adrian, Iris
Clark, Ernest/Adam, Ronald
Matheson, Tim/Almanzar, James
Kutchycki, Alex/Baker, James
Fitzgibbon, Basil/Karras, Alex
Kondrashoff, Kim/Barber, Gillian
Porretta, Frank/Adam, Ronald
Landis, Jessie Royce/Bell, Michael
Wright, Heather/Kemp, Jeremy
Epperson Doumani, Brenda/Begley Jr., Ed
Tatlock Jr., Norman/Bacall, Lauren
Grady, Mike/Abbott, Pamela
Kiwe, Til/Albert, Eddie
Davis, Tommy/Adrian, Iris
Toll, Pamela/Anderson, Herbert
Zebrowski, Jon/Foster, Jodie
Landen, Dinsdale/Aris, Ben
Hamblin, Anthony/Caine, Michael
Moran, Eddie/Clark, Fred
Ballas, John/Bambury, John T.
Jaeckel, Richard/Agar, John
Hughes, Peter/Cleese, John
Ross, Katharine/Alderson, John
Sj�berg, Finn/Oliver, Tom
Bacall, Lauren/Keaton, Joshua
Lipton, Lynne/Dana, Al
Morrissey, Betty/Chaplin, Charles
Karnes, Robert/Almanzar, James
Bromilow, Mark/Caloz, Michael
Nero, Franco/Brynner, Yul
Pointer, Priscilla/Barty, Billy
Weaver, Jason)/Atkinson, Rowan
Weinstein, Leonid/Kiley, Richard
Kikel, Frank/Bambury, John T.
Robinson, Gordon/Jones, Freddie
Medaugh, Cliff/Barry, Ivor
MacArthur, James/Corcoran, Kevin
Grubman, Ira F./Bergen, Edgar
Young, Graeme Alexander/Ayres, Rosalind
Burnier, Jeannine/Dean, Roy
Gould-Porter, Arthur/Delevanti, Cyril
Perry, Joseph V./Abbott, John
