McClure, Marc/Bacon, Kevin
Vienne, Denise/Arcoraci, Vene L.
Venegas, Arturo/Baldwin, Alec
Bybee, Klair/Boss, Mike
Pandher, Arjun/Aykroyd, Dan
Driver, F./Elliott, Robert
Ingham, Jill/Bailey, Bill
Edmiston, Walker/Bates, Kathy
Turney, Michael/Feldman, Corey
Beddington, Carol/Aykroyd, Dan
Koenig, Walter/Bates, Kathy
Polcyn, Beverly/Carroll, Larry
Lowden, Kenneth E./Proctor, Philip
Aaltonen, Minna/Driver, Minnie
Allen, Tim/Applegate, Royce D.
Mele, Joshua/Affleck, Ben
Prima, Louis/Darlington, Marion
Chinn, Jeanne/Chinlund, Nick
Mattos, Tony A./Albertini Dow, Ellen
Brewton, Maia/Albertini Dow, Ellen
Darga, Christopher/Williams, Robin
Sorbello, Joe/Attenborough, Richard
Fein, Caitlin/Roberts, Julia
Charrois, Michael/Blum, Richard
Qian, Zu-Wu/Finnegan, Tom
Fagerbakke, Bill/Schiff, Richard
Raven, Elsa/Jones, Tommy Lee
Imperio, Liz/Guinness, Alec
Aufdenberg, Jeane/Ford, Harrison
Keith, Kate/Edwards, Paddi
Hill, William/Elliott, Robert
Giorgio, Tony/Bell, Michael
Jackson, Micha/Darlington, Marion
Fletcher, Andrea/Darlington, Marion
Arcoraci, Vene L./Darlington, Marion
Doughan, Jim)/Holloway, Sterling
Blakeslee, Douglas/Darlington, Marion
Lo, Chi Moui/Darlington, Marion
Aimer, Travis Cody/Elliott, Robert
Baker, Eileen/Darlington, Marion
Schreffler, Marilyn/Darlington, Marion
Subert, Gaston/Darlington, Marion
Dapkunaite, Ingeborga/Darlington, Marion
Leschin, Luisa/Darlington, Marion
Eisner, David/Darlington, Marion
Hansen, Janis/Darlington, Marion
Silveira, Ruth/Darlington, Marion
Winslow, Dick/Darlington, Marion
Pennello, Anthony T./Darlington, Marion
Barracks, Ron/Darlington, Marion
