Erlich, Norman/Alc�n, Alfredo
Chilakalpudi, Seeta Rama Anjaneyulu/Nandamuri, Rama Rao Taraka
Pugliese, Armando/Benvenuti, Leonardo
Bendre, Sonali/Akkineni, Nagarjuna
Jaccard, Joan/Burns, Fred
Kriechbaum, Philipp/Blythe, Benedick
Wirbgen, Willy/Arent, Eddi
Cotton, Darryl/Braverman, Barbara
Tognella/Ciardo, Gianni
Zucco, Jocelyne/Andrei, Damir
Guldener, Rainer/Andrae, Manfred
Marineau, Barbara/Adams, Matthew
Ollila, Marjut/Brandt, Nils
Unruh, Siegfried/Alric, Catherine
Casadei, Raoul/Agren, Janet
Danneborn-Spjuth, Sanna/Anderson, Mikael
Hazeldine, Jaclyn/Bostwick, Barry
McMartin, Kathleen/Adair-Rios, Mark
Gisselkvist, Christian/Hagstedt, Kaj
Ahlstedt, Inga-Britt/Lilliecrona, Torsten
Tsuda, Akiko/Chiba, Nobuo
De Cohen, Lisa/Cariou, Len
Mermelstein, Ester/Abbas, Gassan
Dazhi, Wu/Cowan, Richard
Sullivan, Julie/Barry-Weske, Sean
G�ttner, Bruno/Gigli, Beniamino
McCoy, Angelina/Abrahams, Doug
Demorget, Robert/Amato, Nicolas
Christian, Beulah/Acker, Jean
Bonneveau, Mich�le Camizuli/Castel, Robert
Stewart, Carl/Carpenter, Ken
Wesson, Howard/Blair, Pamela
Sato, Yasue/Momoi, Kaori
Mancuso, Frank/Hart, Veronica
Heit, Sally-Jane/Robards, Jason
Lowell, Randy/Warren, Lesley Ann
Cooke, Ed/Bolder, Robert
Maning, Mark/Alexander, Richard
Williams, Chuck/Brown, Terry
Imada, Samezu/Date, Satoko
O'Brian, James/Beaman, Lee Anne
Nagy, Judy/Bernard, Jason
Torr�s, Henry/Argenziano, Carmen
Carroll, Corky/Miller, Dick
Verhaeghe, Ray/Althoff Jr., Alberto
Simonson, Julie/Astor, Patti
Fischer, Margarita/Travers, Beverly
Newman, George/Allen, Debbie
McLellan, Diana/Bacall, Lauren
Sitaropoulos, Ral/Abrahams, Caz
Fritz, Malcolm/Cederlund, G�sta
Kapadia, Simple/Khan, Kader
Khahi/Atterton, Edward
Honkaniemi, Airi/Majuri, Tauno
Usztics, M�ty�s/Apor, No�mi
Flores, Mylene/Moss, Jim
Sigaud, Fr�d�ric/Ang�le, Olivier
Langdon, Adele/Ayler, Ethel
May, Edna/Lytton, L. Rogers
Menado, Maria/Maarof, Mustaffa
Kelly, Dorothy/Connelly, Bobby
Gelanza, Ted/Carter, Fleurette
Mafela, Joe/Brock, Stanley
Novello, Don/Alexander, Jason
McGowan, Dave/Carpenter, Wade
Wang, Zhixia/Zhu, Xu
Perry, Vivian/Allen, Lucille
Ford, Carl Kwaku/Berry, Stephanie
