Murcell, George/Jordan, Patrick
Hoey, John/Kennedy, Arthur
Gomez, David/Michael, Christopher
Puhy, Tiffany/Belushi, James
Reed, George/Barthelmess, Richard
Neville, Marjean/Hoyt, Arthur
Aguilar, George/Clemenson, Christian
Doonan, Patric/Herbert, Percy
Rambeau, Marjorie/Barthelmess, Richard
McMurry, Murray/Pickett, Cindy
Frakes, Jonathan/Arnold, Tom
Hall, Douglas Kent/Baldwin, Daniel
Salinas, Ricardo/Coburn, James
Elliott, Lillian/Lease, Rex
Davis, Don S./Coburn, James
Tenbrook, Harry/Barcroft, Roy
Toussaint, Lorraine/Arnold, Tom
Stamper, Sumer/Arnold, Tom
Valanios, Lee/Taylor, Dub
Le Gon, Jeni/Barcroft, Roy
Schienle, Martin/Guardino, Harry
Kelly, Paul/Corbett, Ben
Farese, Jude/DeVito, Danny
Grey, Martin/Baldwin, Daniel
Kain, Khalil/Coburn, James
Pawn, Doris/Barcroft, Roy
Coleman, Irene/London, Tom
Williams, Brook/Guardino, Harry
Kaitlyn, Peter/Coburn, James
Van Peebles, Melvin/Guardino, Harry
Jones, Barry/Coburn, James
Williams, Lottie/Ford, Harrison
Boyd, Joshua/Guardino, Harry
McGuire, Tom/Hearn, Edward
Hammer, M.C./Knight, Don
Kelly, Patsy/Busey, Gary
DeKay, Tim/Guardino, Harry
Steele, Tom/Clemenson, Christian
Harris, Richard/Coburn, James
Big Tree, Chief John/Clemenson, Christian
Ryan, Roz/Bupp, Tommy
Oddo, Lynn/Herbert, Percy
Hatton, Raymond/Arnold, Tom
Carothers, AJ/Baldwin, Daniel
Strange, Glenn/Cole, Olivia
James, Gladden/Arnold, Tom
Beatty, Ned/DeVito, Danny
Phillips, Betty/Knight, Don
Pennell, R.O./Busey, Gary
Webb, Frank/Baldwin, Daniel
Smith, Jack C./Guardino, Harry
Walburn, Raymond/Coburn, James
Gethers, Amani/Herbert, Percy
Krull, Kendra/Herbert, Percy
Duvall, Wayne/Herbert, Percy
McNeal, Heidi/Clark, Harvey
Flockhart, Calista/Herbert, Percy
Wahlberg, Mark/Herbert, Percy
Baker, Mary/Cole, Olivia
Wayne, John/Cole, Olivia
Hicks, Chuck/Hearn, Edward
Robinson, Michael/Clark, Harvey
Hudson, Ernie/Hearn, Edward
Ryusaki, Bill M./Knight, Don
Santillan, Eileen/Clark, Harvey
Phelps, Tex/Knight, Don
McGlynn Jr., Frank/Guardino, Harry
Farr, Hugh/Guardino, Harry
Elliott, Lillian/Guardino, Harry
Conway, Pamela/Hart, Gordon
Ansara, Michael/Knight, Don
James, Gladden/Knight, Don
Davis, Edwards/Guardino, Harry
Le Gon, Jeni/Knight, Don
Kim, Leigh C./Herbert, Percy
Grey, Clifford/Guardino, Harry
Marston, John/Herbert, Percy
Ford, Francis/Herbert, Percy
Lenehan, Nancy/Clark, Harvey
Everton, Paul/Knight, Don
Ricketts, Tom/Knight, Don
Harlan, Kenneth/Herbert, Percy
Kitaeva, Ida/Herbert, Percy
Farley, Dot/Herbert, Percy
McCarthy, Kevin/Clark, Harvey
Cafiso, Matteo/Hearn, Edward
Norton, Jack/Herbert, Percy
Conrad, Jan/Marlowe, Jerry
Richards, Addison/Herbert, Percy
Hall, Lois/Herbert, Percy
O'Connell, James/Clark, Harvey
Waters, Russell/Hearn, Edward
Frees, Wolf/Hearn, Edward
Newley, Anthony/Hearn, Edward
Carricart, Robert/Clark, Harvey
Douglas, Howard/Hearn, Edward
Andon, Kurt/Clark, Harvey
Bacon, Kevin/Clark, Harvey
Masset, Andrew/Clark, Harvey
Doonan, Patric/Hearn, Edward
Maddern, Victor/Clark, Harvey
Waters, Russell/Clark, Harvey
Keen, Geoffrey/Clark, Harvey
Bryan, Dora/Clark, Harvey
Frees, Wolf/Clark, Harvey
French, Charles K./Herbert, Percy
Hilary, Jennifer/Clark, Harvey
Campbell, Beatrice/Clark, Harvey
Beaumont, Victor/Clark, Harvey
Fitzgerald, William/Clark, Harvey
